cell,x,density,momentum,energy,velocity,pressure,alpha,courant,reference_density,reference_momentum,reference_energy
14,0.145,0.9991805943311144,0.0009688319051861196,2.4971335747670382,0.0009696264225734776,0.9988532420258125,1.1846350644849493,0.0192154754473428,1.0000000000000029,0,2.500000000000007
15,0.155,0.9984790352749974,0.0017972995507128356,2.4946815468556474,0.0018000373440167725,0.997871971700997,1.185741066640128,0.019233415450888778,1,0,2.5
16,0.165,0.997298558368402,0.0031892889740542155,2.4905598448419695,0.0031979279898608783,0.9962218981134923,1.1875166771816268,0.019262216895136967,1,0,2.5
17,0.175,0.9954080878866197,0.005413358486787907,2.483969674047259,0.005438330823975088,0.9935819816920397,1.1902308716662275,0.019306242721352767,0.9999999999999984,0,2.499999999999996
18,0.185,0.9925270424144162,0.008791029827768786,2.4739503050318175,0.008857219453067769,0.9895645491966465,1.1941834803375688,0.019370356351916397,1,0,2.5
19,0.195,0.9883473313972895,0.013666618446757862,2.4594641910646793,0.01382774861893591,0.9837478807130012,1.1996738843767143,0.019459413925149775,1,0,2.5
20,0.205,0.9825693306662816,0.02035967793653101,2.4395324009955703,0.020720856331557878,0.9757285864059322,1.2069627237638128,0.019577643174377095,0.9999999999999939,0,2.499999999999985
21,0.215,0.9749451205995315,0.029109449351474363,2.4133938384993296,0.029857526066260874,0.9651837081711747,1.2162363111984786,0.019728066200844815,1,0,2.5
22,0.225,0.9653176584275368,0.040026759836142366,2.38064451609765,0.04146485821190128,0.9519258656548026,1.227583703390663,0.019912127556613552,1,0,2.5
23,0.235,0.9536443830297603,0.05306861583787629,2.341313576693135,0.055648223574992925,0.9359347958374618,1.2409921903046934,0.020129621077451205,1.0000000000000029,0,2.500000000000007
24,0.245,0.9399988960943559,0.06804315051881889,2.2958539490672427,0.0723864153474376,0.9173564996758965,1.2563603901590041,0.020378902291407805,1,0,2.5
25,0.255,0.9245522877991429,0.08464141098009953,2.245056871371162,0.09154853878690278,0.8964729890492468,1.2735226885547304,0.0206572848358131,1,0,2.5
26,0.265,0.907542060920455,0.10248393295956684,2.1899236423254806,0.11292471982579487,0.8736548630469714,1.292276867761822,0.020961488620499832,0.992277817804803,0.009051776158172434,2.4731396591882144
27,0.275,0.8892385433261766,0.12116809234212224,2.1315337877187495,0.13626050428369393,0.8493114300143736,1.3124083738299954,0.02128803345457429,0.9597060564273812,0.046440191485311574,2.361379488819057
28,0.285,0.8699164083918051,0.14030611811533947,2.070938247023412,0.16128689694992676,0.8238493911265823,1.3337079033131927,0.021633524313400317,0.9261118954221971,0.0834017486260219,2.249160845950098
29,0.295,0.8498348513656829,0.15954971388549583,2.0090893759875854,0.18774202261662928,0.7976449131964807,1.355981917218713,0.021994821881019914,0.8934651556178608,0.11768863606197763,2.1431300579485484
30,0.305,0.8292264638382884,0.17860210987097233,1.9468058966429806,0.2153839966036135,0.7710287514120228,1.3790573792981382,0.022369119408010698,0.8617456547789173,0.14941578056302646,2.042959878972552
31,0.315,0.8082929434884697,0.19722077284685485,1.8847640690377392,0.2439966529902883,0.7442813859201376,1.4027825259704871,0.02275395520009097,0.830933499346758,0.17869480730335968,1.948337114791248
32,0.325,0.7872053066469726,0.21521436166593833,1.823505211302263,0.27339038475569194,0.7176345770927449,1.4270252855637053,0.023147186977289673,0.801009082360146,0.20563409946841876,1.858962182909484
33,0.335,0.7661066065064874,0.23243682125609094,1.7634515335764178,0.30340010030199716,0.6912763424539721,1.4516705233983256,0.023546947187587826,0.7719530813757328,0.23033885734191858,1.7745486815582914
34,0.345,0.7451157510517028,0.24878054951486567,1.7049248723447803,0.3338817481226525,0.6653572919837246,1.4766168556672463,0.02395159132618009,0.7437464563885771,0.2529111568730247,1.6948229674648672
35,0.355,0.7243315616173637,0.2641697489750686,1.6481651859428097,0.3647083227813553,0.6399970931614701,1.5017734462326202,0.02435964597764186,0.7163704477526676,0.27345000772362876,1.6195237423150748
36,0.365,0.7038366134568635,0.27855450147496447,1.5933472691249353,0.39576585836712286,0.615290435374321,1.527056985160918,0.02476975980599614,0.6898065741014352,0.2920514107957875,1.5484016478220988
37,0.375,0.6837006545478315,0.29190575482905223,1.5405951220999845,0.42694964951014336,0.5913122368971423,1.5523889222604026,0.02518065868106904,0.6640366302682787,0.3088084152392568,1.481218869314344
38,0.385,0.6639835435912564,0.30421122134997275,1.4899939401615636,0.4581607846854154,0.5681220456878631,1.577692965075547,0.025591105094491993,0.639042685207082,0.3238111749391908,1.4177487477562551
39,0.395,0.6447377202530385,0.3154720987303934,1.4415999383541762,0.4893029968939631,0.5457676866726285,1.6028928267460218,0.025999861628653826,0.6148070799127315,0.3371470044839392,1.3577754001150462
40,0.405,0.6260102487287766,0.3257004904378225,1.3954483113132612,0.5202798054811633,0.5242882469632825,1.6279102104892456,0.02640565826382575,0.5913124253416374,0.3489004346129971,1.301093347986983
41,0.415,0.6078444784198163,0.3349173973648068,1.3515596277434114,0.5509919218736268,0.503716495008775,1.6526630360481316,0.026807163610103785,0.5685416003322518,0.3591532671450746,1.2475071543964709
42,0.425,0.5902813540313715,0.3431511584679944,1.3099449162095702,0.5813349110969157,0.48408081684366905,1.6770639452583282,0.027202960666833007,0.5464777495255873,0.36798462938629106,1.1968310686812347
43,0.435,0.5733603878975654,0.35043622637536403,1.2706096377787615,0.6111971349474735,0.46540673160301926,1.7010191671851618,0.027591528414463246,0.5251042812857375,0.3754710280185167,1.1488886793770747
44,0.445,0.5571202831097093,0.35681216978388136,1.2335566734767685,0.6404580493681598,0.4477180241405863,1.7244278767850134,0.027971231411660524,0.5044048656203957,0.38168640246782104,1.1035125750154606
45,0.455,0.541599169142662,0.36232279601632733,1.1987883864442088,0.6689869864273892,0.4310375074935019,1.7471822420838619,0.028340320560570693,0.48436343210137284,0.38670217775307375,1.0605440127473658
46,0.465,0.5268343842459293,0.3670152844172614,1.166307753998904,0.6966426174756591,0.41538740392155876,1.7691684172061435,0.02869694921432987,0.4649641677851188,0.390587316814658,1.019832594706659
47,0.475,0.5128617141458073,0.3709392161921622,1.1361185082527927,0.7232733619236464,0.4007893125081916,1.7902687900440992,0.029039209635579342,0.4461915151332397,0.393408372323319,0.9812359520264227
48,0.485,0.49971398001288997,0.37414538268200015,1.1082241831349073,0.7487190625972665,0.3872637172146104,1.8103658136568697,0.029365195144005735,0.42948700509329124,0.39513698454428264,0.9475162958193364
49,0.495,0.4874188685820497,0.37668425807756245,1.0826259525886246,0.7728142719902795,0.37482898690016786,1.8293477106423321,0.029673092644597387,0.42631942817849516,0.39539107064191553,0.941178687332019
50,0.505,0.47599592537968477,0.3786040426760185,1.0593191756913498,0.7953934529460934,0.36349983491585425,1.847116205000869,0.029961308043008845,0.42631942817849516,0.39539107064191553,0.941178687332019
51,0.515,0.46545270206451156,0.37994822889763785,1.0382886579913395,0.8162982558966371,0.3532852478805042,1.863596174983734,0.030228622820422064,0.42631942817849516,0.39539107064191553,0.941178687332019
52,0.525,0.45578017400091064,0.38075272363146284,1.01950280934321,0.8353867617565615,0.3441859667723883,1.8787467215427962,0.030474373570292073,0.42631942817849516,0.39539107064191553,0.941178687332019
53,0.535,0.4469477309537855,0.38104268179427425,1.0029071283446378,0.8525441688251331,0.3361917080504153,1.89257264046533,0.030698638083100842,0.42631942817849516,0.39539107064191553,0.941178687332019
54,0.545,0.43889828406643944,0.38082936254977,0.9884177476369675,0.8676938971402334,0.3292784363075389,1.9051347625551094,0.030902403070158378,0.42631942817849516,0.39539107064191553,0.941178687332019
55,0.555,0.4315442941122288,0.3801074924714917,0.9759160723600725,0.8808075964796322,0.3234061155744861,1.9165572363160046,0.031087682293001427,0.42631942817849516,0.39539107064191553,0.941178687332019
56,0.565,0.4247657478579931,0.3788537732470238,0.9652457399164921,0.8919122484746145,0.3185174318186279,1.9270297501083196,0.031257552608072406,0.4263194281784952,0.39539107064191553,0.9411786873320191
