x,z,t
120.352000000,150.080320000,21.920000000
121.250000000,150.468750000,22.000000000
122.152000000,150.867680000,22.080000000
123.058000000,151.276690000,22.160000000
123.968000000,151.695360000,22.240000000
124.882000000,152.123270000,22.320000000
125.800000000,152.560000000,22.400000000
126.722000000,153.005130000,22.480000000
127.648000000,153.458240000,22.560000000
128.578000000,153.918910000,22.640000000
129.512000000,154.386720000,22.720000000
130.450000000,154.861250000,22.800000000
131.392000000,155.342080000,22.880000000
132.338000000,155.828790000,22.960000000
133.288000000,156.320960000,23.040000000
134.242000000,156.818170000,23.120000000
135.200000000,157.320000000,23.200000000
136.162000000,157.826030000,23.280000000
137.128000000,158.335840000,23.360000000
138.098000000,158.849010000,23.440000000
139.072000000,159.365120000,23.520000000
140.050000000,159.883750000,23.600000000
141.032000000,160.404480000,23.680000000
142.018000000,160.926890000,23.760000000
143.008000000,161.450560000,23.840000000
144.002000000,161.975070000,23.920000000
145.000000000,162.500000000,24.000000000
146.002000000,163.024930000,24.080000000
147.008000000,163.549440000,24.160000000
148.018000000,164.073110000,24.240000000
149.032000000,164.595520000,24.320000000
150.050000000,165.116250000,24.400000000
151.072000000,165.634880000,24.480000000
152.098000000,166.150990000,24.560000000
153.128000000,166.664160000,24.640000000
154.162000000,167.173970000,24.720000000
155.200000000,167.680000000,24.800000000
156.242000000,168.181830000,24.880000000
157.288000000,168.679040000,24.960000000
158.338000000,169.171210000,25.040000000
159.392000000,169.657920000,25.120000000
160.450000000,170.138750000,25.200000000
161.512000000,170.613280000,25.280000000
162.578000000,171.081090000,25.360000000
163.648000000,171.541760000,25.440000000
164.722000000,171.994870000,25.520000000
165.800000000,172.440000000,25.600000000
166.882000000,172.876730000,25.680000000
167.968000000,173.304640000,25.760000000
169.058000000,173.723310000,25.840000000
170.152000000,174.132320000,25.920000000
171.250000000,174.531250000,26.000000000
172.352000000,174.919680000,26.080000000
173.458000000,175.297190000,26.160000000
174.568000000,175.663360000,26.240000000
175.682000000,176.017770000,26.320000000
176.800000000,176.360000000,26.400000000
177.922000000,176.689630000,26.480000000
179.048000000,177.006240000,26.560000000
180.178000000,177.309410000,26.640000000
181.312000000,177.598720000,26.720000000
182.450000000,177.873750000,26.800000000
183.592000000,178.134080000,26.880000000
