x,z,t
283.178571429,228.785000000,32.857142857
284.280000000,228.933760000,32.914285714
285.384285714,229.073880000,32.971428571
286.491428571,229.205120000,33.028571429
287.601428571,229.327240000,33.085714286
288.714285714,229.440000000,33.142857143
289.830000000,229.543160000,33.200000000
290.948571429,229.636480000,33.257142857
292.070000000,229.719720000,33.314285714
293.194285714,229.792640000,33.371428571
294.321428571,229.855000000,33.428571429
295.451428571,229.906560000,33.485714286
296.584285714,229.947080000,33.542857143
297.720000000,229.976320000,33.600000000
298.858571429,229.994040000,33.657142857
300.000000000,230.000000000,33.714285714
300.000000000,230.000000000,33.714285714
301.000000000,230.001490000,33.764285714
302.000000000,230.005920000,33.814285714
303.000000000,230.013230000,33.864285714
304.000000000,230.023360000,33.914285714
305.000000000,230.036250000,33.964285714
306.000000000,230.051840000,34.014285714
307.000000000,230.070070000,34.064285714
308.000000000,230.090880000,34.114285714
309.000000000,230.114210000,34.164285714
310.000000000,230.140000000,34.214285714
311.000000000,230.168190000,34.264285714
312.000000000,230.198720000,34.314285714
313.000000000,230.231530000,34.364285714
314.000000000,230.266560000,34.414285714
315.000000000,230.303750000,34.464285714
316.000000000,230.343040000,34.514285714
317.000000000,230.384370000,34.564285714
318.000000000,230.427680000,34.614285714
319.000000000,230.472910000,34.664285714
320.000000000,230.520000000,34.714285714
321.000000000,230.568890000,34.764285714
322.000000000,230.619520000,34.814285714
323.000000000,230.671830000,34.864285714
324.000000000,230.725760000,34.914285714
325.000000000,230.781250000,34.964285714
326.000000000,230.838240000,35.014285714
327.000000000,230.896670000,35.064285714
328.000000000,230.956480000,35.114285714
329.000000000,231.017610000,35.164285714
330.000000000,231.080000000,35.214285714
331.000000000,231.143590000,35.264285714
332.000000000,231.208320000,35.314285714
333.000000000,231.274130000,35.364285714
334.000000000,231.340960000,35.414285714
335.000000000,231.408750000,35.464285714
336.000000000,231.477440000,35.514285714
337.000000000,231.546970000,35.564285714
338.000000000,231.617280000,35.614285714
339.000000000,231.688310000,35.664285714
340.000000000,231.760000000,35.714285714
341.000000000,231.832290000,35.764285714
342.000000000,231.905120000,35.814285714
343.000000000,231.978430000,35.864285714
344.000000000,232.052160000,35.914285714
345.000000000,232.126250000,35.964285714
346.000000000,232.200640000,36.014285714
347.000000000,232.275270000,36.064285714
348.000000000,232.350080000,36.114285714
349.000000000,232.425010000,36.164285714
350.000000000,232.500000000,36.214285714
351.000000000,232.574990000,36.264285714
352.000000000,232.649920000,36.314285714
353.000000000,232.724730000,36.364285714
354.000000000,232.799360000,36.414285714
355.000000000,232.873750000,36.464285714
356.000000000,232.947840000,36.514285714
357.000000000,233.021570000,36.564285714
358.000000000,233.094880000,36.614285714
359.000000000,233.167710000,36.664285714
360.000000000,233.240000000,36.714285714
361.000000000,233.311690000,36.764285714
362.000000000,233.382720000,36.814285714
363.000000000,233.453030000,36.864285714
364.000000000,233.522560000,36.914285714
365.000000000,233.591250000,36.964285714
366.000000000,233.659040000,37.014285714
367.000000000,233.725870000,37.064285714
368.000000000,233.791680000,37.114285714
369.000000000,233.856410000,37.164285714
370.000000000,233.920000000,37.214285714
371.000000000,233.982390000,37.264285714
