scenario,step,time_before,dt,ratio,alpha,retries,max_cfl,min_density,min_pressure,max_component_velocity,min_energy_density_ratio,boundary_x_mass,boundary_x_momentum_x,boundary_x_momentum_y,boundary_x_energy,boundary_y_mass,boundary_y_momentum_x,boundary_y_momentum_y,boundary_y_energy
four-quadrants,37,0.04643583916318846,0.0012216912863176046,0.2345647269729801,1.7052862344732536,0,0.4,0.25,0.25,0.4348709944611502,2.212078637099427,0,100.77653933141718,0,0,0,0,43.142804742411265,0
four-quadrants,38,0.04765753044950607,0.0012206031196992549,0.23435579898225695,1.7068064956663775,0,0.39999999999999997,0.25,0.25,0.43491784673090417,2.210220295145496,0,100.77586986977977,0,0,0,0,43.141213543452075,0
four-quadrants,39,0.048878133569205326,0.0012190400131585693,0.23405568252644532,1.7089950377718561,0,0.39999999999999997,0.25,0.25,0.4349511533974207,2.2082032743273707,0,100.77520029540266,0,0,0,0,43.1396227218676,0
four-quadrants,40,0.050097173582363895,0.0012181553043351498,0.23388581843234876,1.710236228434259,0,0.4,0.25,0.25,0.4349746690972853,2.206330483709948,0,100.77453090585955,0,0,0,0,43.138031435124795,0
four-quadrants,41,0.05131532888669905,0.0012177928600371668,0.23381622912713604,1.7107452356632724,0,0.4,0.25,0.25,0.43499107716876695,2.204588920207981,0,100.77386134513223,0,0,0,0,43.13643904478765,0
four-quadrants,42,0.05253312174673622,0.0012165926316452707,0.23358578527589197,1.712432969872518,0,0.39999999999999997,0.25,0.25,0.43500871453776285,2.2029686993947935,0,100.77319134305091,0,0,0,0,43.13484673457914,0
four-quadrants,43,0.05374971437838149,0.0012154391367911704,0.23336431426390472,1.7140581295032624,0,0.4,0.25,0.25,0.43503766528545423,2.2014595104684367,0,100.77252139741978,0,0,0,0,43.13325449689252,0
four-quadrants,44,0.05496515351517266,0.0012148210348692976,0.23324563869490514,1.7149302436613463,0,0.4,0.25,0.25,0.4350576082199137,2.2000337481901426,0,100.7718515045519,0,0,0,0,43.13166166406366,0
four-quadrants,45,0.05617997455004196,0.0012145481442335261,0.23319324369283703,1.7153155626021543,0,0.4,0.25,0.25,0.43507095589921213,2.1984685011412193,0,100.77118138239803,0,0,0,0,43.130067820363756,0
four-quadrants,46,0.05739452269427548,0.0012133426349572882,0.23296178591179934,1.7170198040610931,0,0.4,0.25,0.25,0.43507945619321226,2.197007896336069,0,100.77051085494669,0,0,0,0,43.12847426768432,0
four-quadrants,47,0.05860786532923277,0.0012125052156935006,0.23280100141315213,1.7182056673807844,0,0.39999999999999997,0.25,0.25,0.43508440367447754,2.1956430455119733,0,100.76984046974606,0,0,0,0,43.12688055411307,0
four-quadrants,48,0.05982037054492627,0.0012120928236995304,0.23272182215030984,1.7187902548375928,0,0.4,0.25,0.25,0.4350867443954315,2.1941793661209115,0,100.76917003605308,0,0,0,0,43.12528614827522,0
four-quadrants,49,0.0610324633686258,0.0012115526064153646,0.23261810043175002,1.7195566435182017,0,0.4,0.25,0.25,0.43509094807692933,2.1927285711419735,0,100.76849932947624,0,0,0,0,43.12369126181546,0
four-quadrants,50,0.062244015975041166,0.0012106712965376048,0.23244888893522012,1.720808397201992,0,0.4,0.25,0.25,0.4350977230099438,2.1913717142671403,0,100.76782843837941,0,0,0,0,43.12209639214326,0
four-quadrants,51,0.06345468727157877,0.0012100980526832323,0.2323388261151806,1.7216235731590652,0,0.39999999999999997,0.25,0.25,0.4351012731999347,2.190101343200206,0,100.76715757166252,0,0,0,0,43.12050115889066,0
four-quadrants,52,0.064664785324262,0.0012098458605029336,0.23229040521656327,1.7219824453234815,0,0.4,0.25,0.25,0.43510245041030254,2.188910646670138,0,100.76648656874033,0,0,0,0,43.118905161956306,0
four-quadrants,53,0.06587463118476493,0.0012091281964897354,0.2321526137260292,1.7230045080261425,0,0.4,0.25,0.25,0.4351018846964676,2.1877941364978266,0,100.7658152606583,0,0,0,0,43.11730906228714,0
four-quadrants,54,0.06708375938125466,0.0012085004759271336,0.23203209137800965,1.7238994728033088,0,0.4,0.25,0.25,0.43510004622212356,2.186746204922682,0,100.76514392506284,0,0,0,0,43.11571276893111,0
four-quadrants,55,0.06829225985718179,0.001208110853308502,0.2319572838352324,1.7244554401841263,0,0.4,0.25,0.25,0.4350972851377335,2.1857615836738327,0,100.76447252325605,0,0,0,0,43.11411598899347,0
four-quadrants,56,0.0695003707104903,0.0012079027359341737,0.23191732529936135,1.7247525577646075,0,0.39999999999999997,0.25,0.25,0.4350970276806474,2.184835497647268,0,100.76380093153102,0,0,0,0,43.112518504467445,0
four-quadrants,57,0.07070827344642447,0.001207153286459162,0.23177343100015912,1.72582335375501,0,0.4,0.25,0.25,0.4350958401810523,2.1839640930177886,0,100.7631290576985,0,0,0,0,43.11092107449476,0
four-quadrants,58,0.07191542673288363,0.0012067058533756273,0.23168752384812044,1.7264632698229123,0,0.39999999999999997,0.25,0.25,0.435093524820669,2.18305551212265,0,100.76245722080833,0,0,0,0,43.10932331575747,0
four-quadrants,59,0.07312213258625926,0.0012064615256244698,0.2316406129198982,1.7268129062424853,0,0.4,0.25,0.25,0.43509039560125945,2.1821138268690756,0,100.76178525917508,0,0,0,0,43.10772497733759,0
four-quadrants,60,0.07432859411188372,0.0012060611157488179,0.23156373422377305,1.7273862046699313,0,0.4,0.25,0.25,0.4350866890876482,2.181227332230879,0,100.76111306683434,0,0,0,0,43.10612629377443,0
four-quadrants,61,0.07553465522763254,0.001205535518077134,0.2314628194708097,1.7281393223953398,0,0.39999999999999997,0.25,0.25,0.4350825839384128,2.1803922684955075,0,100.76044074212209,0,0,0,0,43.104527457122465,0
four-quadrants,62,0.07674019074570967,0.0012052086140888242,0.23140005390505425,1.7286080674990854,0,0.4,0.25,0.25,0.43507932393005927,2.17960492515431,0,100.75976836548507,0,0,0,0,43.102928219397384,0
four-quadrants,63,0.0779453993597985,0.001205086076813129,0.23137652674812076,1.7287838382821121,0,0.39999999999999997,0.25,0.25,0.435075983776769,2.1788618801568425,0,100.75909583225338,0,0,0,0,43.10132832376594,0
four-quadrants,64,0.07915048543661163,0.0012045509939509153,0.23127379083857574,1.7295517946484114,0,0.39999999999999997,0.25,0.25,0.4350721513382743,2.178160340230754,0,100.75842303403456,0,0,0,0,43.09972834943771,0
four-quadrants,65,0.08035503643056255,0.0012041661264235407,0.23119989627331983,1.7301045824308163,0,0.4,0.25,0.25,0.4350679845821703,2.177438932044184,0,100.75775021425916,0,0,0,0,43.09812811170551,0
four-quadrants,66,0.0815592025569861,0.0012039593536449687,0.231160195899834,1.73040171748828,0,0.4,0.25,0.25,0.43506360258151294,2.1767093848554024,0,100.75707729487475,0,0,0,0,43.096527386944636,0
four-quadrants,67,0.08276316191063106,0.001203722502312783,0.23111472044405432,1.7307422012386595,0,0.39999999999999997,0.25,0.25,0.4350590960807271,2.176019400428879,0,100.75640418151161,0,0,0,0,43.09492623335083,0
four-quadrants,68,0.08396688441294384,0.0012032889034930211,0.23103146947066006,1.7313658650766544,0,0.4,0.25,0.25,0.43505494542135226,2.1753269783229148,0,100.75573089838646,0,0,0,0,43.093324934984444,0
four-quadrants,69,0.08517017331643686,0.0012030064492360975,0.23097723825333072,1.731772373004516,0,0.4,0.25,0.25,0.43505079653791934,2.1745974479030186,0,100.75505756475626,0,0,0,0,43.09172330284845,0
four-quadrants,70,0.08637317976567296,0.001202912843016216,0.2309592658591135,1.7319071331132578,0,0.39999999999999997,0.25,0.25,0.43504647879284136,2.1739075493922786,0,100.75438410082268,0,0,0,0,43.09012109582033,0
four-quadrants,71,0.08757609260868918,0.00120253773398403,0.2308872449249338,1.7324473689746192,0,0.4,0.25,0.25,0.43504207274776246,2.173254902364281,0,100.75371040489391,0,0,0,0,43.088518711523285,0
four-quadrants,72,0.0887786303426732,0.001202190977973945,0.23082066777099744,1.7329470703934073,0,0.39999999999999997,0.25,0.25,0.4350376385483771,2.17263710595314,0,100.75303664403764,0,0,0,0,43.08691612607108,0
four-quadrants,73,0.08998082132064715,0.0012020355445624218,0.23079082455598499,1.7331711551772218,0,0.4,0.25,0.25,0.4350332209960596,2.172051846014433,0,100.75236280796064,0,0,0,0,43.08531309333066,0
four-quadrants,74,0.09118285686520958,0.0012018664946337875,0.2307583669696872,1.733414936380377,0,0.4000000000000001,0.25,0.25,0.43502885442084854,2.1714970743375477,0,100.75168879287045,0,0,0,0,43.083709645263255,0
four-quadrants,75,0.09238472335984337,0.0012014853849670031,0.2306851939136646,1.7339647734379628,0,0.39999999999999997,0.25,0.25,0.43502456526498134,2.170970968115556,0,100.7510146120076,0,0,0,0,43.082106083524884,0
four-quadrants,76,0.09358620874481037,0.0012012728172220554,0.23064438090663464,1.7342716021420044,0,0.39999999999999997,0.25,0.25,0.43502037196191734,2.170471657311864,0,100.75034039207675,0,0,0,0,43.080502191489515,0
four-quadrants,77,0.09478748156203243,0.0012012199391204553,0.23063422831112743,1.734347945355261,0,0.4,0.25,0.25,0.43501648818780453,2.1699974124723034,0,100.74966604172266,0,0,0,0,43.07889776393363,0
four-quadrants,78,0.09598870150115288,0.0012008687837918584,0.23056680648803682,1.7348550994514227,0,0.4,0.25,0.25,0.43501286172608195,2.1695468021534303,0,100.74899147440581,0,0,0,0,43.07729321879449,0
