scenario,i,j,x,y,density,momentum_x,momentum_y,energy,velocity_x,velocity_y,pressure
four-quadrants,58,0,0.3046875,0.0026041666666666665,0.35480683363108817,-0.154268336435781,-2.792104700108773e-16,1.0584874374434556,-0.43479527960891,-7.869365625048459e-16,0.40997994608230287
four-quadrants,59,0,0.3098958333333333,0.0026041666666666665,0.3549842044655907,-0.1543459715080961,-3.0647553655906413e-16,1.0585012669020788,-0.43479673057694357,-8.633497848740799e-16,0.40997868200294313
four-quadrants,60,0,0.3151041666666667,0.0026041666666666665,0.35523788936831574,-0.15445681434557423,-3.2205799799782913e-16,1.0585222528978113,-0.4347982548264473,-9.065981068925753e-16,0.4099773904944229
four-quadrants,61,0,0.3203125,0.0026041666666666665,0.3555914301707321,-0.15461119152145528,-3.661044630979946e-16,1.0585529392487998,-0.43480010597336655,-1.0295649220854812e-15,0.40997618320788054
four-quadrants,62,0,0.3255208333333333,0.0026041666666666665,0.3560728391262763,-0.15482131635146618,-3.552435325813034e-16,1.058596084385963,-0.434802375635736,-9.976709637640213e-16,0.4099750985246513
four-quadrants,63,0,0.3307291666666667,0.0026041666666666665,0.3567146126468326,-0.155101326046328,-3.529717062487321e-16,1.0586547749012942,-0.43480508100150916,-9.895072804269833e-16,0.4099741410335147
four-quadrants,64,0,0.3359375,0.0026041666666666665,0.35755341810064967,-0.15546716061749394,-3.748136332052641e-16,1.0587324499581219,-0.43480820696204514,-1.0482731089421602e-15,0.40997330051333425
four-quadrants,65,0,0.3411458333333333,0.0026041666666666665,0.3586293973099493,-0.1559362672022522,-3.6589929648971513e-16,1.0588328608237034,-0.43481172589842826,-1.020271342043616e-15,0.4099725608350075
four-quadrants,66,0,0.3463541666666667,0.0026041666666666665,0.35998504690214905,-0.1565271165906691,-3.656673777441364e-16,1.0589599766596287,-0.4348156067527333,-1.0157849079868363e-15,0.409971904029126
four-quadrants,67,0,0.3515625,0.0026041666666666665,0.36166366253279825,-0.15725852830751402,-3.423761924924838e-16,1.0591178426239956,-0.4348198190722373,-9.466701467732736e-16,0.4099713120843503
four-quadrants,68,0,0.3567708333333333,0.0026041666666666665,0.36370736879333865,-0.1581488146732515,-3.6833585974541653e-16,1.059310395806992,-0.4348243347335448,-1.0127258652125573e-15,0.4099707676969578
four-quadrants,69,0,0.3619791666666667,0.0026041666666666665,0.3661547963008355,-0.15921477101043283,-3.100838623187867e-16,1.059541246418932,-0.4348291286060904,-8.46865493642256e-16,0.4099702545396359
four-quadrants,70,0,0.3671875,0.0026041666666666665,0.3690385086427042,-0.16047055682607583,-3.129555509970667e-16,1.059813434670313,-0.4348341787318468,-8.480295244745423e-16,0.40996975731050345
four-quadrants,71,0,0.3723958333333333,0.0026041666666666665,0.3723823210877794,-0.16192652975532357,-2.895702578465116e-16,1.06012917709444,-0.4348394662837756,-7.776154813167217e-16,0.4099692616825783
four-quadrants,72,0,0.3776041666666667,0.0026041666666666665,0.37619868700832093,-0.16358810880633293,-2.3480535551030516e-16,1.0604896191033422,-0.43484497542309236,-6.241525120078679e-16,0.4099687542106569
four-quadrants,73,0,0.3828125,0.0026041666666666665,0.38048635363180017,-0.1654547545960657,-1.8629092832355523e-16,1.0608946129183703,-0.43485069311100094,-4.896126406252943e-16,0.4099682222244262
four-quadrants,74,0,0.3880208333333333,0.0026041666666666665,0.3852285027560005,-0.16751916036042094,-1.404251775470523e-16,1.0613425413101512,-0.43485660890083655,-3.6452437071094936e-16,0.40996765372401084
