i,j,x,y,density,momentum_x,momentum_y,energy,velocity_x,velocity_y,pressure
81,0,0.4244791666666667,0.0026041666666666665,0.13836923058057,0.16666846930370355,0.1668732920801675,0.273779566973317,1.2045197375485541,1.2060000000000006,0.029110896558927138
82,0,0.4296875,0.0026041666666666665,0.13931722454773235,0.16726128617082328,0.16801657280456528,0.27523732909864373,1.2005786557534877,1.2060000000000004,0.029407268256883046
83,0,0.4348958333333333,0.0026041666666666665,0.14248105378923245,0.1690656275227508,0.1718321508698144,0.2801111336445052,1.1865832194983905,1.2060000000000004,0.03047645134551056
84,0,0.4401041666666667,0.0026041666666666665,0.1518709470297754,0.17333116340530177,0.18315636211790925,0.2947389529041462,1.1413056071304997,1.2060000000000006,0.03415350088183399
85,0,0.4453125,0.0026041666666666665,0.17503566797962844,0.17929476627543567,0.211093015583432,0.33242676811639166,1.0243327451197142,1.2060000000000006,0.04532357186292993
86,0,0.4505208333333333,0.0026041666666666665,0.22060313989792663,0.1792540084419916,0.2660473867168996,0.4135056523835626,0.8125632687047549,1.2060000000000004,0.07210058667169797
87,0,0.4557291666666667,0.0026041666666666665,0.29128635560976884,0.16009600639865482,0.3512913448653811,0.5546890970985271,0.5496172522860377,1.2059999999999995,0.11954586103012164
88,0,0.4609375,0.0026041666666666665,0.37676912767843307,0.11682669691995304,0.45438356798018975,0.7453087596163902,0.3100750256259396,1.2059999999999986,0.18128117904148477
89,0,0.4661458333333333,0.0026041666666666665,0.4543724492301727,0.06393230415733274,0.5479731737715869,0.9338020305320724,0.14070462297098119,1.205999999999997,0.23955056854869783
90,0,0.4713541666666667,0.0026041666666666665,0.5041239896425118,0.024394582653666674,0.6079735315088668,1.061683706423237,0.04839004521678396,1.205999999999995,0.27779417577782567
91,0,0.4765625,0.0026041666666666665,0.5253040327332744,0.006275279951651967,0.6335166634763253,1.1178585443064692,0.011945996148174005,1.205999999999993,0.2943242055980727
92,0,0.4817708333333333,0.0026041666666666665,0.5311503615854474,0.0011304589740954959,0.6405673360720442,1.133568108552073,0.002128321951473691,1.20599999999999,0.2989219207641235
93,0,0.4869791666666667,0.0026041666666666665,0.5322681900351961,0.00013933590679590486,0.6419154371824396,1.1365826289661742,0.00026177763278825906,1.205999999999987,0.2998030408430622
94,0,0.4921875,0.0026041666666666665,0.5324414958506086,-0.000014528077591239647,0.6421244439958255,1.1370502803890312,-0.00002728577262376993,1.205999999999984,0.2999396961845395
