step,time_before,dt,ratio,alpha,retries,max_cfl,min_density,min_pressure,max_component_velocity,min_energy_density_ratio,boundary_x_mass,boundary_x_momentum_x,boundary_x_momentum_y,boundary_x_energy,boundary_y_mass,boundary_y_momentum_x,boundary_y_momentum_y,boundary_y_energy
60,0.05817622128670391,0.0009847040508513456,0.18906317776345835,2.1156948948591667,0,0.39999999999999997,0.138,0.028999999999999984,1.2060000000000006,1.7736755825138044,-52.4562884161107,32.23671172357904,-29.882554244228547,-129.05328896509457,-52.494235696408765,-29.866527902132045,32.3201165073853,-129.16254100537682
61,0.05916092533755526,0.0009847639435953564,0.18907467717030843,2.1155662195826532,0,0.4,0.138,0.028999999999999984,1.2060000000000006,1.780602990730267,-52.494235696424745,32.320116507366365,-29.866527902131995,-129.16254100543287,-52.53218528479387,-29.85050058526386,32.403515684384814,-129.27179685754223
62,0.06014568928115061,0.0009848249626545872,0.18908639282968073,2.1154351405936405,0,0.39999999999999997,0.138,0.028999999999999984,1.2060000000000006,1.7736072695326346,-52.532185284826106,32.403515684346644,-29.850500585263777,-129.27179685765535,-52.570137224671036,-29.834472275292857,32.48690977372124,-129.38105675968058
63,0.0611305142438052,0.0009848868474578787,0.18909827471191273,2.115302218433202,0,0.4000000000000001,0.138,0.028999999999999984,1.2060000000000006,1.771412515980392,-52.57013722473429,32.486909773646275,-29.834472275292683,-129.38105675990258,-52.608091549418376,-29.818442958128756,32.57029925390002,-129.49032091417513
64,0.06211540109126308,0.000984949257551586,0.1891102574499045,2.1151681849196384,0,0.4,0.138,0.028999999999999984,1.2060000000000006,1.772022371278964,-52.608091549539665,32.570299253756325,-29.81844295812841,-129.4903209146007,-52.646048279306626,-29.802412625222257,32.65368455647553,-129.59958948060344
65,0.06310035034881467,0.000985011912576202,0.18912228721463079,2.115033642470962,0,0.4,0.138,0.02899999999999997,1.2060000000000006,1.7788095849255,-52.64604827953371,32.65368455620642,-29.802412625221613,-129.59958948140033,-52.68400742382373,-29.786381272586873,32.73706607054703,-129.7088625826838
66,0.06408536226139087,0.000985074582194101,0.18913431978126738,2.1148990858063064,0,0.39999999999999997,0.138,0.02899999999999997,1.2060000000000006,1.7757572375113224,-52.684007424239866,32.7370660700541,-29.78638127258586,-129.70886258414387,-52.72196898361778,-29.770348899985024,32.82044414927375,-129.81814031412895
67,0.06507043684358498,0.0009851370778538218,0.1891463189479338,2.114764919692187,0,0.39999999999999997,0.138,0.02899999999999996,1.2060000000000006,1.7701543904670676,-52.72196898436431,32.820444148389285,-29.770348899982963,-129.81814031674844,-52.75993295213069,-29.754315510247277,32.90381911420016,-129.9274227436161
68,0.06605557392143879,0.0009851992459859764,0.18915825522930746,2.1146314736044656,0,0.4,0.138,0.028999999999999984,1.2060000000000006,1.7695833001840189,-52.75993295344367,32.90381911264438,-29.75431551024371,-129.92742274822385,-52.79789931698403,-29.73828110870377,32.98719125895865,-130.03670991905153
69,0.06704077316742477,0.0009852609623383604,0.1891701047689652,2.1144990139352244,0,0.4,0.138,0.028999999999999984,1.2060000000000006,1.7733425726802805,-52.797899319250504,32.98719125627314,-29.738281108697596,-130.0367099270052,-52.835868061167254,-29.722245702706278,33.070560852433,-130.1460018712714
